scenario,condition,uncertainty,planner,resolution,seed,status,detail,t_initial_ms,t_first_solution_ms,n_replans,replan_ms_mean,replan_ms_max,initial_pct_budget,replan_pct_budget_max,realtime_ok,energy_planned_wh,energy_exec_wh,delta_e_wh,abs_delta_e_wh,e_air_wh,e_water_wh,e_transition_wh,length_planned_m,length_exec_m,n_waypoints,min_clearance_m,mission_time_s,wall_s
C1,K2,,astar,4.0,2,SUCESSO,replanner setup 0.73s,366.2304570007109,366.2304570007109,1,29.90875000068627,29.90875000068627,0.20114496701452028,0.016426800167310757,1,3.7608939169859203,4.0350820148948365,-0.2741880979089162,0.2741880979089162,4.0350820148948365,0.0,0.0,182.0728912268898,184.78283725933352,4,1.7155357651911616,65.02990875000107,1.7336887860001298
C1,K1,,rrt_star,,21,SUCESSO,,5012.264941999092,188.8282479994814,0,,,2.763864973073879,,1,3.7459588391146452,3.982109721762707,-0.2361508826480616,0.2361508826480616,3.982109721762707,0.0,0.0,181.3498485211677,182.55605265806258,3,1.815959409849821,64.20000000000037,5.150739021000845
C1,K1,,rrt_star,,22,SUCESSO,,5016.443198997877,289.4801739985269,0,,,2.710776893549856,,1,3.822503647659701,4.135730203985465,-0.31322655632576346,0.31322655632576346,4.135730203985465,0.0,0.0,185.05555403449935,186.77938912639638,4,0.8721140072708096,66.6000000000004,5.16591942299965
C1,K1,,rrt_star,,23,SUCESSO,,5015.6273350003175,257.08023500010313,0,,,2.7570123238510926,,1,3.757788436715333,3.995522231372705,-0.23773379465737188,0.23773379465737188,3.995522231372705,0.0,0.0,181.92255767628603,183.143354134826,5,1.3148314175286457,64.40000000000038,5.171333144000528
C1,K1,,rrt_star,,26,SUCESSO,,5011.936275001062,198.24512200102617,0,,,2.7754315021008527,,1,3.730103057454252,3.9571980738960493,-0.22709501644179708,0.22709501644179708,3.9571980738960493,0.0,0.0,180.58223635522245,181.77520035223878,3,1.1196983653181984,63.80000000000037,5.129819278001378
C1,K1,,rrt_star,,24,SUCESSO,,5013.013391000641,199.17944200096827,0,,,2.749854575528744,,1,3.765606491046268,3.995037660368379,-0.22943116932211094,0.22943116932211094,3.995037660368379,0.0,0.0,182.3010364115977,183.4947532303562,4,1.3749632194898695,64.40000000000038,5.169238537000638
C1,K1,,rrt_star,,25,SUCESSO,,5015.833769999517,248.5210509985336,0,,,2.687531225742224,,1,3.855097797580392,4.12317792840619,-0.26808013082579807,0.26808013082579807,4.12317792840619,0.0,0.0,186.6335066903001,188.04300717868895,5,1.172557798578266,66.4000000000004,5.179216544000155
C1,K1,,rrt_star,,29,SUCESSO,,5010.718767000071,241.53285399916058,0,,,2.7638470211622503,,1,3.7448276120207598,3.9696864859556578,-0.224858873934898,0.224858873934898,3.9696864859556578,0.0,0.0,181.29508357857551,182.46423795276831,3,1.1272531963238501,64.00000000000037,5.150779748999412
C1,K1,,rrt_star,,27,SUCESSO,,5014.933132000806,164.8572720005177,0,,,2.7465669588714405,,1,3.7715576292355157,4.007484760892593,-0.23592713165707746,0.23592713165707746,4.007484760892593,0.0,0.0,182.5891451800408,183.82456114493056,4,1.4420386027721646,64.60000000000038,5.170719839001322
C1,K1,,rrt_star,,28,SUCESSO,,5014.242021999962,266.65999599936185,0,,,2.7424064547688753,,1,3.7767589274721596,4.007606799160908,-0.23084787168874854,0.23084787168874854,4.007606799160908,0.0,0.0,182.84095026397364,184.0371484475254,4,1.7170786330121803,64.60000000000038,5.170833620000849
